naics,naics_title,total,know,passes_usd,agreed3_usd,blocked,share_total,share_know,payroll_scored_by_three
624100,Individual and Family Services,134696202300.0,48726428100.0,2149482513.2751374,843097089.9047158,5767318614.253297,0.01595800383805726,0.04411327891434622,48726428100.0
541800,"Advertising, Public Relations, and Related Services",44163627800.0,42626331300.0,2120645507.8028405,1046531906.175196,7274936161.531062,0.048017919121282886,0.049749660435892136,42626331300.0
336400,Aerospace Product and Parts Manufacturing,56140457700.0,39901383300.0,2057984208.3322046,699074819.2598937,3633890215.8798895,0.03665777395919244,0.05157676346354149,39901383300.0
722500,Restaurants and Other Eating Places,400716679300.0,41149308500.0,2048865336.4701,984971027.7975864,3306322247.06869,0.0051130023837520355,0.049791002842006445,41149308500.0
488500,Freight Transportation Arrangement,17720794700.0,15695101200.0,2034136648.6268487,1276347130.124122,2021485793.376858,0.11478811662023536,0.12960328338799426,15695101200.0
236200,Nonresidential Building Construction,74711458900.0,40137512700.0,1983545440.673988,473921275.03430206,3409256468.186293,0.026549413836623504,0.04941874339597501,40137512700.0
519200,"Web Search Portals, Libraries, Archives, and Other Information Services",28450805700.0,28325491800.0,1954577409.7809498,593269612.4564933,3471549238.9251986,0.06870024808404458,0.0690041826486822,28325491800.0
491100,Postal Service (Federal Government),40438903600.0,36896048300.0,1944021764.5657778,263490992.59927008,2206392416.0675817,0.04807305815694216,0.05268915924976653,36896048300.0
621400,Outpatient Care Centers,93862034300.0,79262580300.0,1937039882.036501,669740287.59263,5674571771.487776,0.020637096739725157,0.02443826424404835,79262580300.0
621200,Offices of Dentists,79871145100.0,61355146700.0,1919342195.417311,682105050.7836158,6442905060.176839,0.02403048301128352,0.0312824970462879,61355146700.00001
621300,Offices of Other Health Practitioners,84515369200.0,66689793600.0,1910975948.8858624,765048998.3987014,6969694891.180345,0.02261098740944579,0.028654698803654153,66689793600.0
4240A3,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",33852859900.0,21617000100.0,1750026894.3125951,692668435.9232266,2584070708.408569,0.051695097533328196,0.0809560478427622,21617000100.0
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",40759867000.0,33364759400.0,1746395098.965484,545053986.9704411,3375521783.528843,0.04284594694495652,0.052342505397041286,33364759400.0
561700,Services to Buildings and Dwellings,98256990100.0,19925771900.0,1721928441.0442069,944567487.707309,2950585592.8608646,0.017524742405519777,0.0864171510988845,19925771900.0
441300,"Automotive Parts, Accessories, and Tire Retailers",24564179900.0,13774234700.0,1698623681.9954777,1041467435.8857156,1343076755.44271,0.06915043322881208,0.12331891527850021,13774234700.0
813900,"Business, Professional, Labor, Political, and Similar Organizations",36685443300.0,33546137000.0,1681153532.4769402,818438306.7866998,4131857359.143579,0.04582617466903937,0.05011466841851091,33546137000.0
811100,Automotive Repair and Maintenance,53437899000.0,15758004500.0,1662044008.9495137,842224372.0016309,2313312667.0979147,0.031102345714406055,0.10547300002037147,15758004500.0
3330A1,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",53990541900.0,28991724600.0,1613972163.347196,635907201.4295148,2970598954.3379965,0.029893609260980506,0.05567009847172721,28991724600.0
713900,Other Amusement and Recreation Industries,62312067000.0,21417403000.0,1608423523.7785172,753766192.9496698,3634620460.097139,0.02581239238586833,0.07509890549188047,21417403000.0
516200,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",29418552700.0,28552788800.0,1605537992.423984,507834411.9970686,4857787079.310773,0.054575696119271835,0.05623051407237615,28552788800.0
449200,Electronics and Appliance Retailers,18770393400.0,15557686700.0,1589566598.634725,956562374.6132894,2461105753.5728006,0.08468477803106274,0.10217242635659485,15557686700.0
513100,"Newspaper, Periodical, Book, and Directory Publishers",23343688700.0,22389378800.0,1456763225.9172666,566091722.6786759,4160349539.2274656,0.06240501424769542,0.06506492381634396,22389378800.0
561500,Travel Arrangement and Reservation Services,12469660400.0,11707159700.0,1456104868.382888,1113107053.1843195,1961122665.219761,0.11677181428155718,0.12437729609026245,11707159700.0
334400,Semiconductor and Other Electronic Component Manufacturing,37248973700.0,28224257100.0,1426854789.8347285,529568600.06701255,2558543158.512387,0.03830588196406411,0.05055420182643987,28224257100.0
459900,Other Miscellaneous Retailers,22999466700.0,18189753100.0,1387066009.1038465,688485457.5048422,2676265468.213361,0.06030861616038456,0.07625535110225584,18189753100.0
